end_id	source_record_id	source_end_id	author_tts_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	score	tts_class	locus	gene	convergent	webgester	rnie	transtermhp	rhotermpredict_100nt	rhotermpredict_150nt	prediction_support	prediction_support_count	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_734547_r000456	TTS455	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000455	TTS455	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	734547	734546	734547	+	8.721099336	I	Rv0639	nusG	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_734806_r000457	TTS456	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000456	TTS456	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	734806	734805	734806	+	8.816862455	I	Rv0639	nusG	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_736242_r000458	TTS457	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000457	TTS457	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	736242	736241	736242	-	25.4368081	A	MTB000114	ncRv0641	Found	Found	Found	.	Found	Found	Convergent;WebGeSter;RNIE;RhoTermPredict (100nt);RhoTermPredict (150nt)	5	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_736491_r000459	TTS458	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000458	TTS458	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	736491	736490	736491	-	5.796979523	I	Rv0642c	mmaA4	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_737579_r000460	TTS459	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000459	TTS459	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	737579	737578	737579	-	20.25618894	I	Rv0643c	mmaA3	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_738958_r000461	TTS460	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000460	TTS460	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	738958	738957	738958	-	4.923757643	I	Rv0644c	mmaA2	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_740100_r000462	TTS461	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000461	TTS461	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	740100	740099	740100	-	22.31639823	I	Rv0645c	mmaA1	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_740351_r000463	TTS462	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000462	TTS462	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	740351	740350	740351	+	4.856086799	A	Rv0646c	lipG	Found	.	.	.	Found	Found	Convergent;RhoTermPredict (100nt);RhoTermPredict (150nt)	3	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_748378_r000464	TTS463	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000463	TTS463	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	748378	748377	748378	+	11.67619965	I	Rv0651	rplJ	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_748732_r000465	TTS464	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000464	TTS464	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	748732	748731	748732	+	5.143540312	I	Rv0651	rplJ	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_749777_r000466	TTS465	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000465	TTS465	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	749777	749776	749777	+	6.325395351	A	Rv0653c	Rv0653c	Found	.	.	.	Found	Found	Convergent;RhoTermPredict (100nt);RhoTermPredict (150nt)	3	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_751706_r000467	TTS466	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000466	TTS466	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	751706	751705	751706	+	8.806794524	I	Rv0655	mkl	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_752696_r000468	TTS467	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000467	TTS467	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	752696	752695	752696	+	12.99421966	P	Rv0655	mkl	.	Found	.	.	Found	Found	WebGeSter;RhoTermPredict (100nt);RhoTermPredict (150nt)	3	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_754608_r000469	TTS468	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000468	TTS468	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	754608	754607	754608	-	10.18616569	P	Rv0659c	mazF2	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_756921_r000470	TTS469	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000469	TTS469	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	756921	756920	756921	+	28.49546274	I	Rv0663	atsD	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_759610_r000471	TTS470	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000470	TTS470	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	759610	759609	759610	+	46.79187912	O	.	.	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_759793_r000472	TTS471	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000471	TTS471	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	759793	759792	759793	+	26.04156836	O	.	.	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_760345_r000473	TTS472	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000472	TTS472	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	760345	760344	760345	+	10.08127188	I	Rv0667	rpoB	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_760557_r000474	TTS473	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000473	TTS473	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	760557	760556	760557	+	5.382668622	I	Rv0667	rpoB	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_760930_r000475	TTS474	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000474	TTS474	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	760930	760929	760930	+	12.58102891	I	Rv0667	rpoB	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_761614_r000476	TTS475	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000475	TTS475	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	761614	761613	761614	+	6.93898027	I	Rv0667	rpoB	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_762459_r000477	TTS476	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000476	TTS476	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	762459	762458	762459	+	10.21631424	I	Rv0667	rpoB	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_762696_r000478	TTS477	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000477	TTS477	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	762696	762695	762696	+	7.168150572	I	Rv0667	rpoB	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_764366_r000479	TTS478	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000478	TTS478	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	764366	764365	764366	+	5.396900579	I	Rv0668	rpoC	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_764557_r000480	TTS479	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000479	TTS479	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	764557	764556	764557	+	13.10810145	I	Rv0668	rpoC	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_765417_r000481	TTS480	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000480	TTS480	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	765417	765416	765417	+	5.132702922	I	Rv0668	rpoC	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_766516_r000482	TTS481	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000481	TTS481	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	766516	766515	766516	+	6.212971266	I	Rv0668	rpoC	.	.	.	.	.	Found	RhoTermPredict (150nt)	1	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_767372_r000483	TTS482	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000482	TTS482	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	767372	767371	767372	-	18.36409012	P	Rv0669c	Rv0669c	Found	.	Found	Found	Found	Found	Convergent;RNIE;TransTermHP;RhoTermPredict (100nt);RhoTermPredict (150nt)	5	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_767377_r000484	TTS483	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000483	TTS483	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	767377	767376	767377	+	10.97088374	P	Rv0668	rpoC	Found	Found	Found	.	Found	Found	Convergent;WebGeSter;RNIE;RhoTermPredict (100nt);RhoTermPredict (150nt)	5	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_769400_r000485	TTS484	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000484	TTS484	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	769400	769399	769400	-	5.525845491	I	Rv0669c	Rv0669c	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_777730_r000486	TTS485	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000485	TTS485	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	777730	777729	777730	-	6.369651753	I	Rv0676c	mmpL5	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_779323_r000487	TTS486	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000486	TTS486	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	779323	779322	779323	+	5.507031939	I	Rv0678	Rv0678	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_779431_r000488	TTS487	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000487	TTS487	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	779431	779430	779431	-	7.033908639	A	Rv0678	Rv0678	Found	.	.	.	Found	Found	Convergent;RhoTermPredict (100nt);RhoTermPredict (150nt)	3	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_781114_r000489	TTS488	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000488	TTS488	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	781114	781113	781114	+	11.99337303	I	Rv0681	Rv0681	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_781512_r000490	TTS489	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000489	TTS489	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	781512	781511	781512	+	29.78718165	O	.	.	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_782995_r000491	TTS490	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000490	TTS490	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	782995	782994	782995	+	7.478241114	I	Rv0684	fusA1	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_784234_r000492	TTS491	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000491	TTS491	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	784234	784233	784234	+	10.17690656	I	Rv0684	fusA1	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_786012_r000493	TTS492	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000492	TTS492	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	786012	786011	786012	+	43.84887729	P	Rv0685	tuf	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_788119_r000494	TTS493	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000493	TTS493	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	788119	788118	788119	+	5.228836515	I	Rv0688	Rv0688	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_789892_r000495	TTS494	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000494	TTS494	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	789892	789891	789892	-	13.50392035	P	Rv0690c	Rv0690c	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_minus_791104_r000496	TTS495	BATTER_S1_022_TERMSEQ_NC_000962_3_R_000495	TTS495	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	791104	791103	791104	-	10.54551333	I	Rv0691c	Rv0691c	.	.	.	.	.	.		0	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
BTED_BATTER_S1_022_Mtb_Term_seq_author_classification_NC_000962-3_plus_791953_r000497	TTS496	BATTER_S1_022_TERMSEQ_NC_000962_3_F_000496	TTS496	BATTER_S1_022	Mycobacterium tuberculosis H37Rv	Mtb_Term_seq_author_classification	Term-seq	author_called_termseq_tts	AL123456.3	NC_000962.3	791953	791952	791953	+	15.105835	I	Rv0692	Rv0692	.	.	.	.	Found	Found	RhoTermPredict (100nt);RhoTermPredict (150nt)	2	37096044	10.1016/j.isci.2023.106465	Table S3 / mmc4.xlsx, Classification of TTS	AL123456.3 TTS position treated as 1-based; AL123456.3 sequence identical to NC_000962.3; BED start=position-1
