Species,chromosome,POT,strand,n_candidates,kept_row_index,kept_termite_id,kept_termite_score,kept_transtermhp_conf,kept_rnafold,kept_rnafold_energy,discarded_termite_id,discarded_termite_score,discarded_transtermhp_conf,discarded_rnafold,discarded_rnafold_energy
Bacillus subtilis (d),Chromosome,3183216,+,5,7017,WT_3prime_signal_forward_1109,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1109,1000,,+,-16.799999237060547
Bacillus subtilis (d),Chromosome,3183216,+,5,7017,WT_3prime_signal_forward_1109,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1109,1000,95.0,+,-16.799999237060547
Bacillus subtilis (d),Chromosome,3183216,+,5,7017,WT_3prime_signal_forward_1109,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1109,1000,100.0,+,-16.799999237060547
Bacillus subtilis (d),Chromosome,3183216,+,5,7017,WT_3prime_signal_forward_1109,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1109,1000,95.0,+,-16.799999237060547
Bacillus subtilis (d),Chromosome,3259364,-,2,7047,WT_3prime_signal_reverse_905,1000,,+,-16.299999237060547,WT_3prime_signal_reverse_905,1000,,+,-16.299999237060547
Bacillus subtilis (d),Chromosome,3322435,-,2,7076,WT_3prime_signal_reverse_977,1000,,+,-13.399999618530272,WT_3prime_signal_reverse_977,1000,93.0,+,-13.399999618530272
Bacillus subtilis (d),Chromosome,3388985,-,2,7092,WT_3prime_signal_reverse_1000,1000,,+,-24.700000762939453,WT_3prime_signal_reverse_1000,1000,,+,-24.700000762939453
Bacillus subtilis (d),Chromosome,3389022,+,2,7094,WT_3prime_signal_forward_1140,142,,+,-25.700000762939453,WT_3prime_signal_forward_1140,142,100.0,+,-25.700000762939453
Bacillus subtilis (d),Chromosome,4169168,+,2,7323,WT_3prime_signal_forward_1265,1000,,+,-12.600000381469728,WT_3prime_signal_forward_1265,1000,,+,-12.600000381469728
Bacillus subtilis (c),Chromosome,737420,+,2,7503,WT_3prime_signal_forward_389,1000,,+,-20.0,WT_3prime_signal_forward_389,1000,100.0,+,-20.0
Bacillus subtilis (c),Chromosome,2269481,-,2,7827,WT_3prime_signal_reverse_214,1000,77.0,+,-12.899999618530272,WT_3prime_signal_reverse_214,1000,80.0,+,-12.899999618530272
Bacillus subtilis (c),Chromosome,3183217,+,5,8052,WT_3prime_signal_forward_823,1000,,+,-16.799999237060547,WT_3prime_signal_forward_823,1000,,+,-16.799999237060547
Bacillus subtilis (c),Chromosome,3183217,+,5,8052,WT_3prime_signal_forward_823,1000,,+,-16.799999237060547,WT_3prime_signal_forward_823,1000,95.0,+,-16.799999237060547
Bacillus subtilis (c),Chromosome,3183217,+,5,8052,WT_3prime_signal_forward_823,1000,,+,-16.799999237060547,WT_3prime_signal_forward_823,1000,100.0,+,-16.799999237060547
Bacillus subtilis (c),Chromosome,3183217,+,5,8052,WT_3prime_signal_forward_823,1000,,+,-16.799999237060547,WT_3prime_signal_forward_823,1000,95.0,+,-16.799999237060547
Bacillus subtilis (c),Chromosome,3259364,-,2,8076,WT_3prime_signal_reverse_544,1000,,+,-16.299999237060547,WT_3prime_signal_reverse_544,1000,,+,-16.299999237060547
Bacillus subtilis (c),Chromosome,3322434,-,2,8100,WT_3prime_signal_reverse_562,1000,,+,-13.399999618530272,WT_3prime_signal_reverse_562,1000,93.0,+,-13.399999618530272
Bacillus subtilis (c),Chromosome,3388985,-,2,8115,WT_3prime_signal_reverse_583,1000,,+,-24.700000762939453,WT_3prime_signal_reverse_583,1000,,+,-24.700000762939453
Bacillus subtilis (c),Chromosome,4169168,+,2,8311,WT_3prime_signal_forward_933,1000,,+,-12.600000381469728,WT_3prime_signal_forward_933,1000,,+,-12.600000381469728
Bacillus subtilis (b),Chromosome,288615,-,2,8387,WT_3prime_signal_reverse_16,1000,,+,-14.800000190734863,WT_3prime_signal_reverse_16,1000,,+,-14.800000190734863
Bacillus subtilis (b),Chromosome,737420,+,2,8512,WT_3prime_signal_forward_699,1000,,+,-20.0,WT_3prime_signal_forward_699,1000,100.0,+,-20.0
Bacillus subtilis (b),Chromosome,809455,+,2,8528,WT_3prime_signal_forward_723,1000,,+,-17.299999237060547,WT_3prime_signal_forward_723,1000,100.0,+,-17.299999237060547
Bacillus subtilis (b),Chromosome,2086033,+,2,8870,WT_3prime_signal_forward_1317,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1317,1000,100.0,+,-16.799999237060547
Bacillus subtilis (b),Chromosome,3183180,-,2,9172,WT_3prime_signal_reverse_805,1000,,+,-18.700000762939453,WT_3prime_signal_reverse_805,1000,,+,-18.700000762939453
Bacillus subtilis (b),Chromosome,3183217,+,5,9174,WT_3prime_signal_forward_1456,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1456,1000,,+,-16.799999237060547
Bacillus subtilis (b),Chromosome,3183217,+,5,9174,WT_3prime_signal_forward_1456,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1456,1000,95.0,+,-16.799999237060547
Bacillus subtilis (b),Chromosome,3183217,+,5,9174,WT_3prime_signal_forward_1456,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1456,1000,100.0,+,-16.799999237060547
Bacillus subtilis (b),Chromosome,3183217,+,5,9174,WT_3prime_signal_forward_1456,1000,,+,-16.799999237060547,WT_3prime_signal_forward_1456,1000,95.0,+,-16.799999237060547
Bacillus subtilis (b),Chromosome,3259364,-,2,9204,WT_3prime_signal_reverse_834,1000,,+,-16.299999237060547,WT_3prime_signal_reverse_834,1000,,+,-16.299999237060547
Bacillus subtilis (b),Chromosome,3389023,+,2,9249,WT_3prime_signal_forward_1491,1000,,+,-25.700000762939453,WT_3prime_signal_forward_1491,1000,100.0,+,-25.700000762939453
Bacillus subtilis (b),Chromosome,4169168,+,2,9472,WT_3prime_signal_forward_1637,1000,,+,-12.600000381469728,WT_3prime_signal_forward_1637,1000,,+,-12.600000381469728
Bacillus subtilis (a),Chromosome,737420,+,2,9583,WT_3prime_signal_forward_250,1000,,+,-20.0,WT_3prime_signal_forward_250,1000,100.0,+,-20.0
Bacillus subtilis (a),Chromosome,1318490,-,2,9667,WT_3prime_signal_reverse_76,500,,+,-22.899999618530277,WT_3prime_signal_reverse_76,500,100.0,+,-22.899999618530277
Bacillus subtilis (a),Chromosome,3259364,-,2,9966,WT_3prime_signal_reverse_394,1000,,+,-16.299999237060547,WT_3prime_signal_reverse_394,1000,,+,-16.299999237060547
Bacillus subtilis (a),Chromosome,3388985,-,2,9991,WT_3prime_signal_reverse_415,1000,,+,-24.700000762939453,WT_3prime_signal_reverse_415,1000,,+,-24.700000762939453
Bacillus subtilis (a),Chromosome,4169168,+,2,10112,WT_3prime_signal_forward_576,1000,,+,-12.600000381469728,WT_3prime_signal_forward_576,1000,,+,-12.600000381469728
Escherichia coli (b),Chromosome,671542,-,2,10256,WT_3prime_signal_reverse_392,1000,,+,-28.5,WT_3prime_signal_reverse_392,1000,100.0,+,-28.5
Escherichia coli (b),Chromosome,837626,+,2,10292,WT_3prime_signal_forward_920,0,,+,-21.899999618530277,WT_3prime_signal_forward_920,0,,+,-21.899999618530277
Escherichia coli (b),Chromosome,1302852,+,3,10402,WT_3prime_signal_forward_1368,1000,,+,-22.600000381469727,WT_3prime_signal_forward_1368,1000,,+,-22.600000381469727
Escherichia coli (b),Chromosome,1302852,+,3,10402,WT_3prime_signal_forward_1368,1000,,+,-22.600000381469727,WT_3prime_signal_forward_1368,1000,79.0,+,-22.600000381469727
Escherichia coli (b),Chromosome,3222496,+,2,10766,WT_3prime_signal_forward_2223,0,,+,-25.399999618530277,WT_3prime_signal_forward_2223,0,,+,-25.399999618530277
Escherichia coli (b),Chromosome,3959499,-,2,10944,WT_3prime_signal_reverse_3497,1000,,+,-20.899999618530277,WT_3prime_signal_reverse_3497,1000,87.0,+,-20.899999618530277
Escherichia coli (b),Chromosome,4053570,-,2,10969,WT_3prime_signal_reverse_3534,1000,,+,-16.700000762939453,WT_3prime_signal_reverse_3534,1000,,+,-16.700000762939453
Escherichia coli (b),Chromosome,4227571,+,2,11009,WT_3prime_signal_forward_3232,1000,89.0,+,-17.200000762939453,WT_3prime_signal_forward_3232,1000,85.0,+,-17.200000762939453
Escherichia coli (a),Chromosome,671542,-,2,11173,WT_3prime_signal_reverse_89,1000,,+,-28.5,WT_3prime_signal_reverse_89,1000,100.0,+,-28.5
Escherichia coli (a),Chromosome,964167,+,2,11228,WT_3prime_signal_forward_207,1000,80.0,+,-7.199999809265137,WT_3prime_signal_forward_207,1000,81.0,+,-7.199999809265137
Escherichia coli (a),Chromosome,1302852,+,2,11283,WT_3prime_signal_forward_267,1000,,+,-22.600000381469727,WT_3prime_signal_forward_267,1000,,+,-22.600000381469727
Escherichia coli (a),Chromosome,2316987,+,2,11436,WT_3prime_signal_forward_415,1000,,+,-20.5,WT_3prime_signal_forward_415,1000,,+,-20.5
Escherichia coli (a),Chromosome,4053572,-,2,11690,WT_3prime_signal_reverse_885,1000,,+,-16.700000762939453,WT_3prime_signal_reverse_885,1000,,+,-16.700000762939453
