end_id	link_status	record_id	source_id	species	evidence_class	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	locus	gene_start_1based	gene_end_1based	gene_annotation	tts_counts	three_prime_utr_length	begins_operon	operon_id	pmid	doi	source_table	count_discrepancy_warning
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000158	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1096866	1096865	1096866	+	PA1013	1096063	1096773	phosphoribosylaminoimidazole-succinocarboxamide	18.0	93	0	722	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1097009_r000307	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000159	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1097009	1097008	1097009	+	PA1013.1	1096867	1096956	tRNA-Ser	4631.0	53	1	723	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1119579_r000308	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000160	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1119579	1119578	1119579	-	PA1032	1119674	1122217	QuiP protein	53.0	95	1	738	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1123097_r000310	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000161	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1123097	1123096	1123097	-	PA1034	1123148	1123348	hypothetical protein	126.0	51	0	740	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1136392_r000312	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000162	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1136392	1136391	1136392	+	PA1048	1135408	1136289	hypothetical protein	23.0	103	1	750	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1141777_r000314	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000163	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1141777	1141776	1141777	+	PA1053	1141268	1141732	hypothetical protein	266.0	45	1	755	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1157896_r000315	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000164	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1157896	1157895	1157896	-	PA1070	1157954	1158655	branched-chain amino acid ABC transporter	63.0	58	0	763	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000165	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1157923	1157922	1157923	+	PA1069	1155584	1157878	hypothetical protein	79.0	45	0	762	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1161809_r000319	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000166	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1161809	1161808	1161809	-	PA1074	1161856	1162977	branched-chain amino acid ABC transporter	261.0	47	1	764	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000167	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1164086	1164085	1164086	+	PA1076	1163660	1164022	hypothetical protein	17.0	64	1	766	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1167373_r000322	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000168	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1167373	1167372	1167373	+	PA1080	1165882	1167270	flagellar hook protein FlgE	64.0	103	0	767	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1184583_r000325	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000169	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1184583	1184582	1184583	+	PA1092	1183058	1184524	flagellin type B	368.0	59	1	772	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000170	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1186506	1186505	1186506	+	PA1094	1185060	1186484	flagellar capping protein FliD	11.0	22	1	774	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000171	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1187418	1187417	1187418	+	PA1096	1187009	1187305	hypothetical protein	35.0	113	0	775	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1205029_r000332	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000172	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1205029	1205028	1205029	-	PA1112.1	1205031	1205330	Product na	100.0	2	0	786	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1231208_r000335	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000173	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1231208	1231207	1231208	-	PA1140	1231256	1232092	hypothetical protein	23.0	48	1	808	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000174	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1245774	1245773	1245774	+	PA1150	1243594	1245663	pyocin S2	12.0	111	1	818	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1245967_r000338	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000175	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1245967	1245966	1245967	+	PA1151	1245665	1245928	pyocin S2 immunity protein	117.0	39	0	818	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1249808_r000340	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000176	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1249808	1249807	1249808	-	PA1155	1249907	1251154	ribonucleotide-diphosphate reductase subunit	257.0	99	1	821	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000177	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1251283	1251282	1251283	-	PA1156	1251418	1254309	ribonucleotide-diphosphate reductase subunit	12.0	135	1	822	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1258022_r000344	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000178	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1258022	1258021	1258022	+	PA1159	1257772	1257981	cold-shock protein	592.0	41	1	825	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000179	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1272204	1272203	1272204	+	PA1171	1270972	1272168	transglycosylase	13.0	36	1	835	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1277670_r000348	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000180	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1277670	1277669	1277670	+	PA1178	1277006	1277608	PhoP/Q and low Mg2+ inducible outer membrane	342.0	62	1	837	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1278423_r000350	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000181	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1278423	1278422	1278423	+	PA1179	1277688	1278365	two-component response regulator PhoP	10.0	58	1	838	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000182	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1300264	1300263	1300264	+	PA1198	1299558	1300175	hypothetical protein	25.0	89	1	854	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1303372_r000359	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000183	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1303372	1303371	1303372	+	PA1202	1302696	1303313	hydrolase	21.0	59	1	857	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1348019_r000361	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000184	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1348019	1348018	1348019	-	PA1244	1348060	1348401	hypothetical protein	150.0	41	1	881	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1399186_r000370	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000185	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1399186	1399185	1399186	-	PA1288	1399231	1400505	hypothetical protein	794.0	45	1	909	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000186	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1402937	1402936	1402937	-	PA1292	1402981	1403835	3-mercaptopyruvate sulfurtransferase	15.0	44	1	913	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000187	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1404091	1404090	1404091	-	PA1293	1404136	1405197	hypothetical protein	9.0	45	1	914	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1436657_r000376	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000188	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1436657	1436656	1436657	+	PA1324.1	1436491	1436618	P9	58.0	39	1	936	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1450466_r000377	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000189	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1450466	1450465	1450466	-	PA1337	1450545	1451633	glutaminase-asparaginase	116.0	79	1	947	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1453431_r000378	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000190	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1453431	1453430	1453431	-	PA1339	1453470	1454204	amino acid ABC transporter ATP binding protein	58.0	39	0	949	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000191	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1454728	1454727	1454728	-	PA1341	1454866	1455612	amino acid ABC transporter membrane protein	8.0	138	1	949	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000192	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1455730	1455729	1455730	-	PA1342	1455815	1456723	ABC transporter	11.0	85	1	950	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1538970_r000384	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000193	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1538970	1538969	1538970	+	PA1414	1538683	1538916	hypothetical protein	22.0	54	1	1005	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1571829_r000393	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000194	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1571829	1571828	1571829	+	PA1441	1570496	1571779	hypothetical protein	80.0	50	1	1025	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000195	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1598976	1598975	1598976	-	PA1471	1599024	1599320	hypothetical protein	12.0	48	1	1044	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1620291_r000396	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000196	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1620291	1620290	1620291	-	PA1493	1620345	1621343	sulfate ABC transporter substrate-binding	43.0	54	1	1055	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1625938_r000397	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000197	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1625938	1625937	1625938	-	PA1498	1626062	1627495	pyruvate kinase	10.0	124	0	1059	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1636260_r000400	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000198	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1636260	1636259	1636260	-	PA1507	1636329	1637696	transporter	14.0	69	1	1067	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1653093_r000402	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000199	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1653093	1653092	1653093	+	PA1520	1652273	1653052	transcriptional regulator	29.0	41	1	1075	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000200	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1666007	1666006	1666007	+	PA1528	1665065	1665934	cell division protein ZipA	17.0	73	1	1080	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_1672455_r000406	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000201	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1672455	1672454	1672455	+	PA1533	1672080	1672406	hypothetical protein	75.0	49	1	1085	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1681022_r000407	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000202	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1681022	1681021	1681022	-	PA1544	1681071	1681805	transcriptional regulator Anr	37.0	49	1	1094	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000203	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1687281	1687280	1687281	-	PA1550	1687373	1687912	hypothetical protein	12.0	92	0	1097	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1689506_r000410	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000204	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1689506	1689505	1689506	-	PA1552	1689557	1690513	cytochrome C oxidase cbb3-type subunit CcoP	657.0	51	0	1098	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000205	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1690491	1690490	1690491	-	PA1552.1	1690510	1690695	cytochrome C oxidase cbb3-type subunit CcoQ	10.0	19	0	1098	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1693079_r000412	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000206	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1693079	1693078	1693079	-	PA1555	1693119	1694045	cytochrome C oxidase cbb3-type subunit CcoP	12.0	40	0	1099	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000207	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1698350	1698349	1698350	-	PA1561	1698382	1699947	aerotaxis receptor Aer	8.0	32	1	1101	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1700273_r000413	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000208	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1700273	1700272	1700273	-	PA1562	1700320	1703052	aconitate hydratase	23.0	47	1	1102	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1712471_r000414	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000209	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1712471	1712470	1712471	-	PA1571	1712519	1712698	hypothetical protein	79.0	48	1	1110	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1714736_r000416	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000210	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1714736	1714735	1714736	-	PA1574	1714778	1715059	hypothetical protein	96.0	42	1	1112	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000211	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1719040	1719039	1719040	+	PA1579	1718386	1718994	hypothetical protein	27.0	46	1	1118	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_1719062_r000418	linked	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_R_000212	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1719062	1719061	1719062	-	PA1580	1719109	1720395	type II citrate synthase	178.0	47	1	1119	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000213	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1721268	1721267	1721268	+	PA1581	1720744	1721130	succinate dehydrogenase subunit C	25.0	138	1	1120	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
	unlinked_author_annotation	BATTER_S1_008_THOMASON2019_GENE_TTS_NC_002516_2_F_000214	BATTER_S1_008	Pseudomonas aeruginosa PAO1	author_gene_associated_termseq_tts	NC_002516.2	1721557	1721556	1721557	+	PA1582	1721124	1721492	succinate dehydrogenase subunit D	7.0	65	0	1120	31594819	10.1128/mBio.02253-19	Table S1A	workbook contains 805 non-NA rows whereas article text reports 804 associated TTSs; no row silently removed
