locus_tag	tts_position	gff_matched	inferred_strand	confidence	note
CDIF630_01090	1111789	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05510 (1111177-1111698, +链); Location TTS=3UTR
CDIF630_01101	1121070	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05555 (1120028-1121725, +链); Location TTS=CDS
CDIF630_01103	1122228	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05565 (1122035-1122217, +链); Location TTS=3UTR
CDIF630_01110	1126217	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05600 (1125447-1126151, +链); Location TTS=3UTR
CDIF630nc_034	1126403	否		无法确定	locus tag(CDIF630nc_034)未命中且坐标(1126319-1126403)处无唯一GFF特征, 需人工核查
CDIF630nc_035	1126919	否		无法确定	locus tag(CDIF630nc_035)未命中且坐标(1126918-1127063)处无唯一GFF特征, 需人工核查
CDIF630_01119	1132724	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05645 (1132255-1132692, +链); Location TTS=3UTR
CDIF630_01121	1135861	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05655 (1134509-1135783, +链); Location TTS=3UTR
CP010905.2:1137235..1137481	1137507	是	+	低	坐标定位到GFF特征 binding_site/ (1137235-1137481, +链), 非基因特征, 低置信
CDIF630_01132	1147003	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05705 (1145704-1146954, +链); Location TTS=3UTR
CDIF630_01133	1151420	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05715 (1147776-1151321, +链); Location TTS=3UTR
CDIF630_01135	1154606	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05725 (1153546-1154541, +链); Location TTS=3UTR
CDIF630_01140	1157998	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05750 (1157629-1158177, +链); Location TTS=CDS
CDIF630_01141	1159477	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05755 (1158243-1159424, +链); Location TTS=3UTR
CDIF630_01143	1160606	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05765 (1160255-1160518, +链); Location TTS=3UTR
CDIF630_01144	1160565	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS05770 (1160647-1161489, -链); Location TTS=3UTR
CDIF630_01147	1164583	是	+	高	locus tag直接命中 GFF gene/nagB (1163760-1164509, +链); Location TTS=3UTR
CDIF630_01148	1164527	是	+	低	locus tag(CDIF630_01148)未命中; 按坐标关联到GFF gene/CDIF630_RS20360 (1164684-1164956, +链), 低置信
CDIF630_01151	1169796	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05805 (1168476-1169627, +链); Location TTS=3UTR
CDIF630_01152	1169739	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS05810 (1169990-1170820, -链); Location TTS=3UTR
CDIF630_01158	1179536	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05840 (1178709-1179398, +链); Location TTS=3UTR
CDIF630_01163	1184201	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05865 (1183052-1184104, +链); Location TTS=3UTR
CDIF630_01172	1198627	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05910 (1195729-1198627, +链); Location TTS=3UTR
CDIF630_01173	1198794	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05915 (1198720-1198793, +链); Location TTS=3UTR
CDIF630_01174	1198919	是	+	高	locus tag直接命中 GFF gene/rrf (1198802-1198918, +链); Location TTS=3UTR
CDIF630_01175	1201366	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05925 (1199192-1201210, +链); Location TTS=3UTR
CDIF630_01176	1203874	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05930 (1201715-1203727, +链); Location TTS=3UTR
CDIF630_01184	1222548	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05970 (1221219-1222472, +链); Location TTS=3UTR
CDIF630_01186	1225102	是	+	高	locus tag直接命中 GFF gene/pepT (1223763-1224989, +链); Location TTS=3UTR
CDIF630_01187	1226506	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05985 (1225196-1226248, +链); Location TTS=3UTR
CDIF630_01187	1226545	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS05985 (1225196-1226248, +链); Location TTS=3UTR
CDIF630_01188	1226545	是	-	高	locus tag直接命中 GFF gene/yfcE (1226620-1227189, -链); Location TTS=3UTR
CDIF630_01188	1226506	是	-	高	locus tag直接命中 GFF gene/yfcE (1226620-1227189, -链); Location TTS=3UTR
CDIF630_01193	1230909	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06015 (1230368-1230835, +链); Location TTS=3UTR
CDIF630_01199	1237659	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06045 (1236396-1237571, +链); Location TTS=3UTR
CDIF630_01201	1239812	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06055 (1238683-1239687, +链); Location TTS=3UTR
CDIF630_01202	1239749	是	-	高	locus tag直接命中 GFF gene/acpP (1239831-1240058, -链); Location TTS=3UTR
CDIF630_01204	1240974	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06070 (1240703-1240909, +链); Location TTS=3UTR
CDIF630_01206	1241559	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06080 (1241304-1241504, +链); Location TTS=3UTR
CDIF630_01207	1242820	是	+	高	locus tag直接命中 GFF gene/ccpA (1241751-1242773, +链); Location TTS=3UTR
CDIF630_01208	1242783	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06090 (1242896-1243294, -链); Location TTS=3UTR
CDIF630_01210	1244740	是	+	高	locus tag直接命中 GFF gene/ssrS (1244526-1244706, +链); Location TTS=3UTR
CDIF630_01211	1246201	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06105 (1244889-1246106, +链); Location TTS=3UTR
CDIF630_01212	1246149	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06110 (1246206-1247528, -链); Location TTS=3UTR
CDIF630_01216	1251658	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06130 (1250186-1251580, +链); Location TTS=3UTR
CDIF630_01222	1255869	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06160 (1254984-1255826, +链); Location TTS=3UTR
CDIF630_01223	1255868	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06165 (1255986-1256891, -链); Location TTS=3UTR
CDIF630_01224	1258055	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06170 (1257253-1257987, +链); Location TTS=3UTR
CDIF630_01227	1260415	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06185 (1260054-1260329, +链); Location TTS=3UTR
CDIF630_01228	1262413	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06190 (1260584-1262284, +链); Location TTS=3UTR
CDIF630_01230	1265115	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06200 (1263894-1265057, +链); Location TTS=3UTR
CDIF630_01235	1268990	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06225 (1269131-1270324, -链); Location TTS=3UTR
CDIF630_01238	1272061	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06245 (1272180-1272953, -链); Location TTS=3UTR
CDIF630_01241	1274790	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06260 (1274824-1275741, -链); Location TTS=3UTR
CDIF630_01247	1280209	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06300 (1279731-1280150, +链); Location TTS=3UTR
CDIF630_01266	1304622	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06405 (1304014-1304565, +链); Location TTS=3UTR
CDIF630_01268	1306856	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06415 (1305765-1306745, +链); Location TTS=3UTR
CDIF630nc_036	1307131	是	+	低	locus tag(CDIF630nc_036)未命中; 按坐标关联到GFF gene/CDIF630_RS06420 (1307246-1307467, +链), 低置信
CDIF630nc_037	1307695	是	+	低	locus tag(CDIF630nc_037)未命中; 按坐标关联到GFF gene/CDIF630_RS06420 (1307246-1307467, +链), 低置信
CDIF630nc_038	1307697	是	+	低	locus tag(CDIF630nc_038)未命中; 按坐标关联到GFF gene/CDIF630_RS06420 (1307246-1307467, +链), 低置信
CDIF630nc_038	1307544	是	+	低	locus tag(CDIF630nc_038)未命中; 按坐标关联到GFF gene/CDIF630_RS06420 (1307246-1307467, +链), 低置信
CDIF630_01270	1308935	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06425 (1307973-1308842, +链); Location TTS=3UTR
CDIF630_01271	1310030	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06430 (1309068-1309934, +链); Location TTS=3UTR
CDIF630_01273	1310956	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06440 (1310326-1310769, +链); Location TTS=3UTR
CDIF630_01274	1310955	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06445 (1310956-1311043, -链); Location TTS=3UTR
CDIF630_01279	1317111	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06470 (1316792-1317004, +链); Location TTS=3UTR
CDIF630_01280	1317892	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06475 (1317205-1317804, +链); Location TTS=3UTR
CDIF630_01282	1319506	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06485 (1318526-1319809, +链); Location TTS=CDS
CDIF630_01283	1320934	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06490 (1319920-1320864, +链); Location TTS=3UTR
CDIF630_01283	1320142	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06490 (1319920-1320864, +链); Location TTS=CDS
CDIF630_01289	1326260	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06520 (1325198-1326169, +链); Location TTS=3UTR
CDIF630_01292	1328906	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06535 (1327747-1328808, +链); Location TTS=3UTR
CDIF630_01298	1335159	是	+	高	locus tag直接命中 GFF gene/minE (1334824-1335108, +链); Location TTS=3UTR
CDIF630_01300	1336971	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06575 (1336364-1336777, +链); Location TTS=3UTR
CDIF630_01300	1337106	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06575 (1336364-1336777, +链); Location TTS=3UTR
CDIF630_01302	1338461	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06585 (1337594-1338385, +链); Location TTS=3UTR
CDIF630_01303	1340102	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06590 (1338949-1340031, +链); Location TTS=3UTR
CDIF630_01303	1340188	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06590 (1338949-1340031, +链); Location TTS=3UTR
CDIF630_01304	1340124	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06595 (1340243-1341436, -链); Location TTS=3UTR
CDIF630_01304	1340065	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06595 (1340243-1341436, -链); Location TTS=3UTR
CDIF630_01310	1346827	是	+	高	locus tag直接命中 GFF gene/rpmA (1346499-1346789, +链); Location TTS=3UTR
CP010905.2:1348689..1348795	1348839	是	+	低	坐标定位到GFF特征 riboswitch/ (1348689-1348795, +链), 非基因特征, 低置信
CDIF630_01314	1350258	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06640 (1348898-1350103, +链); Location TTS=3UTR
CDIF630_01315	1350204	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06645 (1350304-1350870, -链); Location TTS=3UTR
CDIF630_01317	1353304	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06655 (1352534-1353247, +链); Location TTS=3UTR
CDIF630_01321	1358257	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06675 (1356689-1358080, +链); Location TTS=3UTR
CDIF630_01322	1358175	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06680 (1358342-1359622, -链); Location TTS=3UTR
CDIF630_01325	1362143	是	+	高	locus tag直接命中 GFF gene/rpmF (1361923-1362099, +链); Location TTS=3UTR
CDIF630_01333	1369312	是	+	高	locus tag直接命中 GFF gene/fabF (1367968-1369206, +链); Location TTS=3UTR
CDIF630_01335	1373377	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06745 (1371181-1373181, +链); Location TTS=3UTR
CDIF630_01340	1378731	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06770 (1376706-1378691, +链); Location TTS=3UTR
CDIF630_01344	1380976	是	+	高	locus tag直接命中 GFF gene/spoIIIAD (1380633-1381010, +链); Location TTS=CDS
CDIF630_01348	1384295	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06810 (1383570-1384259, +链); Location TTS=3UTR
CDIF630_01349	1384766	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06815 (1384369-1384731, +链); Location TTS=3UTR
CDIF630_01350	1385380	是	+	高	locus tag直接命中 GFF gene/nusB (1384816-1385322, +链); Location TTS=3UTR
CDIF630_01358	1393761	是	+	高	locus tag直接命中 GFF gene/recN (1392016-1393695, +链); Location TTS=3UTR
CDIF630_01360	1394812	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06870 (1394868-1395359, -链); Location TTS=3UTR
CDIF630_01363	1398147	是	+	高	locus tag直接命中 GFF gene/spo0A (1397221-1398045, +链); Location TTS=3UTR
CDIF630_01369	1403698	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06915 (1403094-1403630, +链); Location TTS=3UTR
CDIF630_01373	1407429	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06935 (1406490-1407302, +链); Location TTS=3UTR
CDIF630_01374	1408894	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06940 (1407506-1408831, +链); Location TTS=3UTR
CDIF630_01375	1410176	是	+	高	locus tag直接命中 GFF gene/mltG (1409044-1410123, +链); Location TTS=3UTR
CDIF630_01377	1412276	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06955 (1410956-1412203, +链); Location TTS=3UTR
CDIF630_01378	1414028	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS06960 (1412275-1413939, +链); Location TTS=3UTR
CDIF630_01379	1413951	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06965 (1414036-1414320, -链); Location TTS=3UTR
CDIF630_01381	1415917	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS06975 (1415985-1416806, -链); Location TTS=3UTR
CDIF630nc_042	1418653	是	+	低	locus tag(CDIF630nc_042)未命中; 按坐标关联到GFF gene/CDIF630_RS21180 (1418574-1418726, +链), 低置信
CDIF630nc_042	1418503	是	+	低	locus tag(CDIF630nc_042)未命中; 按坐标关联到GFF gene/CDIF630_RS21180 (1418574-1418726, +链), 低置信
CDIF630_01384	1422138	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07000 (1421881-1422099, +链); Location TTS=3UTR
CDIF630_01386	1423239	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07015 (1423320-1423703, -链); Location TTS=3UTR
CDIF630_01390	1427341	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07040 (1426936-1427325, +链); Location TTS=3UTR
CDIF630_01391	1428257	是	+	高	locus tag直接命中 GFF gene/vanZ1 (1427650-1428159, +链); Location TTS=3UTR
CDIF630_01392	1428224	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07050 (1428261-1428455, -链); Location TTS=3UTR
CDIF630_01398	1432893	是	+	高	locus tag直接命中 GFF gene/efp (1432275-1432832, +链); Location TTS=3UTR
CDIF630_01399	1433444	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07090 (1432924-1433379, +链); Location TTS=3UTR
CDIF630_01404	1440982	是	+	高	locus tag直接命中 GFF gene/ylxM (1440368-1440736, +链); Location TTS=CDS
CDIF630_01407	1442727	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07130 (1442460-1442687, +链); Location TTS=3UTR
CDIF630_01410	1444600	是	+	高	locus tag直接命中 GFF gene/rplS (1444199-1444549, +链); Location TTS=3UTR
CDIF630_01411	1445836	是	+	高	locus tag直接命中 GFF gene/ylqF (1444870-1445766, +链); Location TTS=3UTR
CDIF630_01412	1447537	是	+	高	locus tag直接命中 GFF gene/brnQ (1446155-1447447, +链); Location TTS=3UTR
CDIF630_01413	1449919	是	+	高	locus tag直接命中 GFF gene/brnQ (1448566-1449858, +链); Location TTS=3UTR
CDIF630_01413	1450237	是	+	高	locus tag直接命中 GFF gene/brnQ (1448566-1449858, +链); Location TTS=3UTR
CDIF630_01417	1454893	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07180 (1454596-1454844, +链); Location TTS=3UTR
CDIF630_01418	1454992	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07185 (1455020-1455517, -链); Location TTS=3UTR
CDIF630_01422	1458965	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07205 (1459003-1459650, -链); Location TTS=3UTR
CDIF630_01427	1466265	是	+	高	locus tag直接命中 GFF gene/topA (1464118-1466205, +链); Location TTS=3UTR
CDIF630_01427	1465233	是	+	高	locus tag直接命中 GFF gene/topA (1464118-1466205, +链); Location TTS=CDS
CDIF630_01428	1467217	是	+	高	locus tag直接命中 GFF gene/codY (1466370-1467155, +链); Location TTS=3UTR
CDIF630_01433	1471693	是	+	高	locus tag直接命中 GFF gene/nifU (1471148-1471588, +链); Location TTS=3UTR
CP010905.2:1473099..1473337	1473366	是	+	低	坐标定位到GFF特征 binding_site/ (1473099-1473337, +链), 非基因特征, 低置信
CDIF630_01437	1476226	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07275 (1476069-1476326, +链); Location TTS=CDS
CDIF630_01438	1478608	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07280 (1476336-1478507, +链); Location TTS=3UTR
CDIF630_01440	1479606	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07290 (1479216-1479503, +链); Location TTS=3UTR
CDIF630_01441	1480310	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07295 (1479785-1480243, +链); Location TTS=3UTR
CDIF630_01442	1480253	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07300 (1480360-1481097, -链); Location TTS=3UTR
CDIF630_01442	1480102	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07300 (1480360-1481097, -链); Location TTS=3UTR
CDIF630_01442	1479843	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07300 (1480360-1481097, -链); Location TTS=3UTR
CDIF630_01443	1483070	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07305 (1481314-1482990, +链); Location TTS=3UTR
CDIF630_01445	1484715	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07315 (1483451-1484614, +链); Location TTS=3UTR
CDIF630_01446	1484670	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07320 (1484825-1485247, -链); Location TTS=3UTR
CDIF630_01450	1488368	是	+	高	locus tag直接命中 GFF gene/scpB (1487749-1488288, +链); Location TTS=3UTR
CDIF630_01452	1489536	是	+	高	locus tag直接命中 GFF gene/ytfJ (1489033-1489461, +链); Location TTS=3UTR
CDIF630_01454	1491694	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07360 (1490165-1491616, +链); Location TTS=3UTR
CDIF630_01455	1491629	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07365 (1491707-1492375, -链); Location TTS=3UTR
CDIF630_01456	1492927	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS20475 (1492644-1492784, +链); Location TTS=3UTR
CDIF630_01457	1492868	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07375 (1492959-1493279, -链); Location TTS=3UTR
CDIF630_01459	1496242	是	+	高	locus tag直接命中 GFF gene/acd (1494351-1496174, +链); Location TTS=3UTR
CDIF630_01459	1494512	是	+	高	locus tag直接命中 GFF gene/acd (1494351-1496174, +链); Location TTS=CDS
CDIF630_01459	1494822	是	+	高	locus tag直接命中 GFF gene/acd (1494351-1496174, +链); Location TTS=CDS
CDIF630_01460	1500794	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07390 (1496389-1500687, +链); Location TTS=3UTR
CDIF630_01466	1505579	是	+	高	locus tag直接命中 GFF gene/rbfA (1505130-1505510, +链); Location TTS=3UTR
CDIF630_01467	1506170	是	+	高	locus tag直接命中 GFF pseudogene/CDIF630_RS07425 (1505491-1506168, +链); Location TTS=3UTR
CDIF630_01467	1506319	是	+	高	locus tag直接命中 GFF pseudogene/CDIF630_RS07425 (1505491-1506168, +链); Location TTS=3UTR
CDIF630_01467	1506652	是	+	高	locus tag直接命中 GFF pseudogene/CDIF630_RS07425 (1505491-1506168, +链); Location TTS=3UTR
CDIF630nc_044	1506652	是	+	低	locus tag(CDIF630nc_044)未命中; 按坐标关联到GFF pseudogene/CDIF630_RS07425 (1505491-1506168, +链), 低置信
CDIF630_01468	1508053	是	+	高	locus tag直接命中 GFF gene/tnpB (1506817-1507935, +链); Location TTS=3UTR
CDIF630_01468	1507392	是	+	高	locus tag直接命中 GFF gene/tnpB (1506817-1507935, +链); Location TTS=CDS
CDIF630_01470	1509346	是	+	高	locus tag直接命中 GFF gene/truB (1508371-1509276, +链); Location TTS=3UTR
CDIF630_01472	1510746	是	+	高	locus tag直接命中 GFF gene/rpsO (1510440-1510697, +链); Location TTS=3UTR
CDIF630_01474	1514065	是	+	高	locus tag直接命中 GFF gene/pnp (1511907-1514018, +链); Location TTS=3UTR
CDIF630_01475	1515105	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07470 (1514286-1515029, +链); Location TTS=3UTR
CDIF630_01479	1518877	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07490 (1518060-1518794, +链); Location TTS=3UTR
CDIF630_01483	1524356	是	+	高	locus tag直接命中 GFF gene/pgsA (1523704-1524246, +链); Location TTS=3UTR
CDIF630_01485	1527384	是	+	高	locus tag直接命中 GFF gene/rny (1525756-1527297, +链); Location TTS=3UTR
CDIF630_01486	1529795	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07525 (1527932-1529713, +链); Location TTS=3UTR
CDIF630_01487	1529739	是	-	高	locus tag直接命中 GFF gene/lepB (1529795-1530325, -链); Location TTS=3UTR
CDIF630_01490	1534008	是	+	高	locus tag直接命中 GFF gene/purB (1532498-1533943, +链); Location TTS=3UTR
CDIF630nc_047	1533965	是	+	低	locus tag(CDIF630nc_047)未命中; 按坐标关联到GFF gene/CDIF630_RS07550 (1534254-1534706, +链), 低置信
CDIF630_01491	1534838	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07550 (1534254-1534706, +链); Location TTS=3UTR
CDIF630_01492	1536747	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07555 (1535118-1536695, +链); Location TTS=3UTR
CDIF630_01493	1537552	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07560 (1536843-1537595, +链); Location TTS=CDS
CDIF630_01494	1539155	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07565 (1537728-1539074, +链); Location TTS=3UTR
CDIF630_01494	1538272	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07565 (1537728-1539074, +链); Location TTS=CDS
CDIF630_01495	1539105	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07570 (1539186-1540382, -链); Location TTS=3UTR
CDIF630_01497	1542710	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07580 (1541877-1542629, +链); Location TTS=3UTR
CDIF630_01498	1542637	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07585 (1542721-1543497, -链); Location TTS=3UTR
CDIF630_01499	1545808	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07590 (1543812-1545710, +链); Location TTS=3UTR
CDIF630_01500	1545730	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07595 (1545838-1546959, -链); Location TTS=3UTR
CDIF630_01504	1550293	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07615 (1549724-1550260, +链); Location TTS=3UTR
CDIF630_01508	1554154	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07635 (1552696-1554084, +链); Location TTS=3UTR
CDIF630_01509	1554085	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07640 (1554160-1554981, -链); Location TTS=3UTR
CDIF630_01511	1556842	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07650 (1556569-1556769, +链); Location TTS=3UTR
CDIF630_01512	1557745	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07655 (1557190-1557618, +链); Location TTS=3UTR
CDIF630_01513	1557697	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07660 (1557761-1558516, -链); Location TTS=3UTR
CDIF630_01516	1559767	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07675 (1559805-1560125, -链); Location TTS=3UTR
CDIF630_01519	1561402	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07690 (1561285-1561728, +链); Location TTS=CDS
CDIF630_01535	1578471	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07770 (1578542-1578997, -链); Location TTS=3UTR
CDIF630_01536	1579191	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07775 (1579225-1579644, -链); Location TTS=3UTR
CDIF630_01539	1580446	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07790 (1580610-1581008, -链); Location TTS=3UTR
CDIF630_01540	1581304	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07795 (1581429-1583930, -链); Location TTS=3UTR
CDIF630_01542	1586304	是	+	高	locus tag直接命中 GFF gene/glpK (1584721-1586235, +链); Location TTS=3UTR
CDIF630_01543	1586263	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07810 (1586349-1586978, -链); Location TTS=3UTR
CDIF630_01547	1591450	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07830 (1590351-1591337, +链); Location TTS=3UTR
CDIF630_01548	1591379	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07835 (1591556-1592122, -链); Location TTS=3UTR
CDIF630_01551	1596900	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07850 (1594733-1596829, +链); Location TTS=3UTR
CDIF630_01552	1596935	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07855 (1596988-1597332, -链); Location TTS=3UTR
CDIF630_01553	1598654	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07860 (1597624-1598514, +链); Location TTS=3UTR
CDIF630_01554	1600107	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07865 (1598732-1600018, +链); Location TTS=3UTR
CDIF630_01556	1600154	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07875 (1600574-1601368, -链); Location TTS=3UTR
CDIF630_01556	1600037	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07875 (1600574-1601368, -链); Location TTS=3UTR
CDIF630_01557	1601813	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07880 (1601934-1602410, -链); Location TTS=3UTR
CDIF630_01560	1605487	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07895 (1604777-1605370, +链); Location TTS=3UTR
CDIF630_01561	1605420	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07900 (1605619-1606254, -链); Location TTS=3UTR
CDIF630_01561	1605679	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07900 (1605619-1606254, -链); Location TTS=CDS
CDIF630_01561	1605962	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07900 (1605619-1606254, -链); Location TTS=CDS
CDIF630_01563	1609648	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07910 (1607396-1609585, +链); Location TTS=3UTR
CDIF630_01565	1612353	是	+	高	locus tag直接命中 GFF gene/CDIF630_RS07920 (1611911-1612258, +链); Location TTS=3UTR
CDIF630_01566	1612387	是	-	高	locus tag直接命中 GFF gene/CDIF630_RS07925 (1612500-1614419, -链); Location TTS=3UTR
